jcost;jcost2;jcost3;jcostbal;jcap;backup;;balav21;balshort21;ballong21;balpos21;balneg21;;balav20;balshort20;ballong20;;balav19;balshort19;ballong19
45.248;65.248;85.248;70;2;45.62;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.25;65.25;85.25;70;2;45.625;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.252;65.252;85.252;70;2;45.63;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.254;65.254;85.254;70;2;45.635;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.256;65.256;85.256;70;2;45.64;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.258;65.258;85.258;70;2;45.645;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.26;65.26;85.26;70;2;45.65;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.262;65.262;85.262;70;2;45.655;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.264;65.264;85.264;70;2;45.66;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.266;65.266;85.266;70;2;45.665;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.268;65.268;85.268;70;2;45.67;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.27;65.27;85.27;70;2;45.675;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.272;65.272;85.272;70;2;45.68;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.274;65.274;85.274;70;2;45.685;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.276;65.276;85.276;70;2;45.69;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.278;65.278;85.278;70;2;45.695;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.28;65.28;85.28;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.282;65.282;85.282;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.284;65.284;85.284;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.286;65.286;85.286;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.288;65.288;85.288;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.29;65.29;85.29;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.292;65.292;85.292;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.294;65.294;85.294;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.296;65.296;85.296;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.298;65.298;85.298;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.3;65.3;85.3;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.302;65.302;85.302;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.304;65.304;85.304;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.306;65.306;85.306;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.308;65.308;85.308;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.31;65.31;85.31;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.312;65.312;85.312;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.314;65.314;85.314;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.316;65.316;85.316;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
